Isolate	Category	Subsystem	Role	Contig	Start	Stop
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Pectate lyase precursor (EC 4.2.2.2)	NZ_JBBJSP010000004.1	113507	112245
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	D-galactarate dehydratase (EC 4.2.1.42)	NZ_JBBJSP010000006.1	110832	109300
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Uronate isomerase (EC 5.3.1.12)	NZ_JBBJSP010000003.1	350975	352384
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Mannonate dehydratase (EC 4.2.1.8)	NZ_JBBJSP010000003.1	356000	357079
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	NZ_JBBJSP010000006.1	116973	116047
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	2-keto-3-deoxygluconate permease (KDG permease)	NZ_JBBJSP010000002.1	188542	187550
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Alpha-glucosidase (EC 3.2.1.20)	NZ_JBBJSP010000001.1	1029759	1031423
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	NZ_JBBJSP010000002.1	189177	188587
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	NZ_JBBJSP010000002.1	192261	193025
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Hexuronate utilization operon transcriptional repressor ExuR	NZ_JBBJSP010000003.1	359316	360317
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Altronate oxidoreductase (EC 1.1.1.58)	NZ_JBBJSP010000003.1	360392	361834
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Glucuronide transporter UidB	NZ_JBBJSP010000003.1	352452	353831
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	D-mannonate oxidoreductase (EC 1.1.1.57)	NZ_JBBJSP010000003.1	357076	357912
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)	NZ_JBBJSP010000002.1	191432	192259
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Transcriptional regulator KdgR, KDG operon repressor	NZ_JBBJSP010000002.1	191210	190191
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Hexuronate transporter	NZ_JBBJSP010000003.1	357960	359228
SA6	Carbohydrates	D-Galacturonate and D-Glucuronate Utilization	Pectin lyase (EC 4.2.2.10)	NZ_JBBJSP010000002.1	38821	39858
SA6	Carbohydrates	Fructose utilization	Transaldolase (EC 2.2.1.2)	NZ_JBBJSP010000001.1	419164	419802
SA6	Carbohydrates	Fructose utilization	1-phosphofructokinase (EC 2.7.1.56)	NZ_JBBJSP010000003.1	558884	559795
SA6	Carbohydrates	Fructose utilization	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	NZ_JBBJSP010000003.1	511924	513636
SA6	Carbohydrates	Fructose utilization	Phosphotransferase system, phosphocarrier protein HPr	NZ_JBBJSP010000003.1	511658	511924
SA6	Carbohydrates	Fructose utilization	Fructokinase (EC 2.7.1.4)	NZ_JBBJSP010000002.1	610720	611532
SA6	Carbohydrates	Fructose utilization	Transcriptional repressor of the fructose operon, DeoR family	NZ_JBBJSP010000003.1	558132	558887
SA6	Carbohydrates	Chitin and N-acetylglucosamine utilization	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	NZ_JBBJSP010000001.1	648768	647578
SA6	Carbohydrates	Chitin and N-acetylglucosamine utilization	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	NZ_JBBJSP010000001.1	647581	646853
SA6	Carbohydrates	Chitin and N-acetylglucosamine utilization	Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	NZ_JBBJSP010000001.1	646835	646104
SA6	Carbohydrates	Neotrehalosadiamine (NTD) Biosynthesis Operon	NTD biosynthesis operon putative oxidoreductase NtdC (EC 1.-.-.-)	NZ_JBBJSP010000003.1	176853	175801
SA6	Carbohydrates	Neotrehalosadiamine (NTD) Biosynthesis Operon	NTD biosynthesis operon regulator NtdR	NZ_JBBJSP010000003.1	179116	180105
SA6	Carbohydrates	Neotrehalosadiamine (NTD) Biosynthesis Operon	NTD biosynthesis operon putative hydrolase NtdB (EC 3.-.-.-)	NZ_JBBJSP010000003.1	177715	176867
SA6	Carbohydrates	Neotrehalosadiamine (NTD) Biosynthesis Operon	NTD biosynthesis operon protein NtdA	NZ_JBBJSP010000003.1	179012	177687
SA6	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	NZ_JBBJSP010000003.1	53617	55281
SA6	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerol kinase (EC 2.7.1.30)	NZ_JBBJSP010000003.1	51983	53473
SA6	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerol-3-phosphate responsive antiterminator (mRNA-binding)	NZ_JBBJSP010000003.1	50386	50961
SA6	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	NZ_JBBJSP010000002.1	255778	254741
SA6	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerol uptake facilitator protein	NZ_JBBJSP010000003.1	51140	51964
SA6	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerol-3-phosphate transporter	NZ_JBBJSP010000006.1	147577	148911
SA6	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	NZ_JBBJSP010000002.1	380510	379779
SA6	Carbohydrates	Inositol catabolism	Major myo-inositol transporter IolT	NZ_JBBJSP010000001.1	132702	131317
SA6	Carbohydrates	Inositol catabolism	Inosose dehydratase (EC 4.2.1.44)	NZ_JBBJSP010000001.1	142899	143792
SA6	Carbohydrates	Inositol catabolism	Transcriptional repressor of the myo-inositol catabolic operon DeoR family	NZ_JBBJSP010000001.1	137165	136410
SA6	Carbohydrates	Inositol catabolism	5-keto-2-deoxy-D-gluconate-6 phosphate aldolase (EC 4.1.2.29)	NZ_JBBJSP010000001.1	148012	148884
SA6	Carbohydrates	Inositol catabolism	5-keto-2-deoxygluconokinase (EC 2.7.1.92)	NZ_JBBJSP010000001.1	139959	140936
SA6	Carbohydrates	Inositol catabolism	Minor myo-inositol transporter IolF	NZ_JBBJSP010000001.1	143792	145123
SA6	Carbohydrates	Inositol catabolism	Predicted transcriptional regulator of the myo-inositol catabolic operon	NZ_JBBJSP010000003.1	211792	212805
SA6	Carbohydrates	Inositol catabolism	Myo-inositol 2-dehydrogenase 1 (EC 1.1.1.18)	NZ_JBBJSP010000001.1	145146	146180
SA6	Carbohydrates	Inositol catabolism	Glyceraldehyde-3-phosphate ketol-isomerase (EC 5.3.1.1)	NZ_JBBJSP010000001.1	146200	147069
SA6	Carbohydrates	One-carbon metabolism by tetrahydropterines	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	NZ_JBBJSP010000003.1	229241	227403
SA6	Carbohydrates	One-carbon metabolism by tetrahydropterines	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	NZ_JBBJSP010000002.1	394877	394026
SA6	Carbohydrates	One-carbon metabolism by tetrahydropterines	Formyltetrahydrofolate deformylase (EC 3.5.1.10)	NZ_JBBJSP010000003.1	429167	430069
SA6	Carbohydrates	One-carbon metabolism by tetrahydropterines	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	NZ_JBBJSP010000002.1	439951	439388
SA6	Carbohydrates	One-carbon metabolism by tetrahydropterines	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	NZ_JBBJSP010000002.1	394877	394026
SA6	Carbohydrates	Lactose and Galactose Uptake and Utilization	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	NZ_JBBJSP010000001.1	308508	310049
SA6	Carbohydrates	Lactose and Galactose Uptake and Utilization	UDP-glucose 4-epimerase (EC 5.1.3.2)	NZ_JBBJSP010000001.1	235505	236527
SA6	Carbohydrates	Lactose and Galactose Uptake and Utilization	Galactokinase (EC 2.7.1.6)	NZ_JBBJSP010000001.1	307332	308504
SA6	Carbohydrates	Lactose and Galactose Uptake and Utilization	Aldose 1-epimerase (EC 5.1.3.3)	NZ_JBBJSP010000002.1	4832	3855
SA6	Carbohydrates	Sucrose utilization	Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	NZ_JBBJSP010000001.1	325495	326934
SA6	Carbohydrates	Sucrose utilization	Fructokinase (EC 2.7.1.4)	NZ_JBBJSP010000002.1	610720	611532
SA6	Carbohydrates	Sucrose utilization	Sucrose permease, major facilitator superfamily	NZ_JBBJSP010000002.1	607997	609253
SA6	Carbohydrates	Sucrose utilization	Sucrose operon repressor ScrR, LacI family	NZ_JBBJSP010000002.1	604629	603655
SA6	Carbohydrates	Butanol Biosynthesis	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	NZ_JBBJSP010000002.1	379652	378471
SA6	Carbohydrates	Butanol Biosynthesis	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	NZ_JBBJSP010000002.1	378448	377585
SA6	Carbohydrates	Butanol Biosynthesis	Alcohol dehydrogenase (EC 1.1.1.1)	NZ_JBBJSP010000002.1	11561	12550
SA6	Carbohydrates	Butanol Biosynthesis	Enoyl-CoA hydratase (EC 4.2.1.17)	NZ_JBBJSP010000002.1	799121	798345
SA6	Carbohydrates	Acetolactate synthase subunits	Acetolactate synthase small subunit (EC 2.2.1.6)	NZ_JBBJSP010000002.1	774975	774457
SA6	Carbohydrates	Acetolactate synthase subunits	Acetolactate synthase large subunit (EC 2.2.1.6)	NZ_JBBJSP010000002.1	776696	774972
SA6	Carbohydrates	Acetyl-CoA fermentation to Butyrate	Enoyl-CoA hydratase (EC 4.2.1.17)	NZ_JBBJSP010000002.1	799121	798345
SA6	Carbohydrates	Acetyl-CoA fermentation to Butyrate	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	NZ_JBBJSP010000002.1	378448	377585
SA6	Carbohydrates	Acetyl-CoA fermentation to Butyrate	3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	NZ_JBBJSP010000001.1	226641	227414
SA6	Carbohydrates	Acetyl-CoA fermentation to Butyrate	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	NZ_JBBJSP010000002.1	379652	378471
SA6	Carbohydrates	Acetyl-CoA fermentation to Butyrate	Electron transfer flavoprotein, alpha subunit	NZ_JBBJSP010000002.1	797521	796544
SA6	Carbohydrates	Acetyl-CoA fermentation to Butyrate	Electron transfer flavoprotein, beta subunit	NZ_JBBJSP010000002.1	798330	797557
SA6	Carbohydrates	Acetoin, butanediol metabolism	Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4)	NZ_JBBJSP010000004.1	62495	61119
SA6	Carbohydrates	Acetoin, butanediol metabolism	Acetolactate synthase large subunit (EC 2.2.1.6)	NZ_JBBJSP010000002.1	776696	774972
SA6	Carbohydrates	Acetoin, butanediol metabolism	Acetolactate synthase, catabolic (EC 2.2.1.6)	NZ_JBBJSP010000001.1	529278	530993
SA6	Carbohydrates	Acetoin, butanediol metabolism	Transcriptional regulator of alpha-acetolactate operon AlsR	NZ_JBBJSP010000001.1	529123	528215
SA6	Carbohydrates	Acetoin, butanediol metabolism	2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	NZ_JBBJSP010000004.1	254792	255832
SA6	Carbohydrates	Acetoin, butanediol metabolism	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	NZ_JBBJSP010000001.1	531055	531822
SA6	Carbohydrates	Acetoin, butanediol metabolism	Transcriptional activator of acetoin dehydrogenase operon AcoR	NZ_JBBJSP010000004.1	61003	59186
SA6	Carbohydrates	Acetoin, butanediol metabolism	Acetolactate synthase small subunit (EC 2.2.1.6)	NZ_JBBJSP010000002.1	774975	774457
SA6	Carbohydrates	Fermentations: Lactate	Phosphate acetyltransferase (EC 2.3.1.8)	NZ_JBBJSP010000001.1	361231	362202
SA6	Carbohydrates	Fermentations: Lactate	L-lactate dehydrogenase (EC 1.1.1.27)	NZ_JBBJSP010000006.1	55073	54108
SA6	Carbohydrates	Fermentations: Lactate	Acetate kinase (EC 2.7.2.1)	NZ_JBBJSP010000002.1	897597	896410
SA6	Carbohydrates	Carbon storage regulator	Carbon storage regulator	NZ_JBBJSP010000001.1	612082	612306
SA6	Carbohydrates	Carbon storage regulator	Flagellar assembly factor FliW	NZ_JBBJSP010000001.1	611657	612088
SB1	Carbohydrates	Alpha-acetolactate operon	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	NZ_JBBJSS010000003.1	744054	744767
SB1	Carbohydrates	Alpha-acetolactate operon	Acetolactate synthase, catabolic (EC 2.2.1.6)	NZ_JBBJSS010000003.1	742361	744037
SB1	Carbohydrates	Glycerate metabolism	Glycerate kinase (EC 2.7.1.31)	NZ_JBBJSS010000005.1	83030	81894
SB1	Carbohydrates	Glycerate metabolism	Hydroxypyruvate reductase (EC 1.1.1.81)	NZ_JBBJSS010000007.1	47722	46733
SB1	Carbohydrates	Glycerate metabolism	Pyruvate kinase (EC 2.7.1.40)	NZ_JBBJSS010000001.1	889216	887456
SB1	Carbohydrates	Glycerate metabolism	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	NZ_JBBJSS010000003.1	358509	357607
SB1	Carbohydrates	Glycerate metabolism	D-glycerate transporter (predicted)	NZ_JBBJSS010000005.1	84319	83051
SB1	Carbohydrates	Chitin and N-acetylglucosamine utilization	Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	NZ_JBBJSS010000003.1	328987	329712
SB1	Carbohydrates	Chitin and N-acetylglucosamine utilization	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	NZ_JBBJSS010000003.1	327005	328189
SB1	Carbohydrates	Chitin and N-acetylglucosamine utilization	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	NZ_JBBJSS010000003.1	328192	328929
SB1	Carbohydrates	L-Arabinose utilization	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	NZ_JBBJSS010000006.1	406010	405312
SB1	Carbohydrates	L-Arabinose utilization	L-arabinose isomerase (EC 5.3.1.4)	NZ_JBBJSS010000006.1	405282	403858
SB1	Carbohydrates	L-Arabinose utilization	Ribulokinase (EC 2.7.1.16)	NZ_JBBJSS010000006.1	407635	406004
SB1	Carbohydrates	L-Arabinose utilization	Arabinose-proton symporter	NZ_JBBJSS010000006.1	403712	402333
SB1	Carbohydrates	Xylose utilization	Xylose-responsive transcription regulator, ROK family	NZ_JBBJSS010000009.1	81216	80050
SB1	Carbohydrates	Xylose utilization	Xylose isomerase (EC 5.3.1.5)	NZ_JBBJSS010000009.1	81442	82779
SB1	Carbohydrates	Xylose utilization	Xylulose kinase (EC 2.7.1.17)	NZ_JBBJSS010000009.1	82838	84340
SB1	Carbohydrates	Xylose utilization	D-xylose proton-symporter XylE	NZ_JBBJSS010000009.1	84642	86063
SB1	Carbohydrates	D-ribose utilization	Ribokinase (EC 2.7.1.15)	NZ_JBBJSS010000003.1	608823	607945
SB1	Carbohydrates	D-ribose utilization	Ribose operon repressor	NZ_JBBJSS010000003.1	609805	608816
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	Glycerate kinase (EC 2.7.1.31)	NZ_JBBJSS010000005.1	83030	81894
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	Sugar diacid utilization regulator SdaR	NZ_JBBJSS010000005.1	85546	84446
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	D-galactarate dehydratase (EC 4.2.1.42)	NZ_JBBJSS010000009.1	114119	113592
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	D-glycerate transporter (predicted)	NZ_JBBJSS010000005.1	84319	83051
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	Predicted 5-dehydro-4-deoxyglucarate regulator YcbG	NZ_JBBJSS010000009.1	114272	114652
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism - gjo	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	NZ_JBBJSS010000003.1	358509	357607
SB1	Carbohydrates	Mannose Metabolism	Phosphomannomutase (EC 5.4.2.8)	NZ_JBBJSS010000001.1	629911	627632
SB1	Carbohydrates	Mannose Metabolism	Mannose-6-phosphate isomerase (EC 5.3.1.8)	NZ_JBBJSS010000003.1	375983	374973
SB1	Carbohydrates	Mannose Metabolism	D-mannose isomerase (EC 5.3.1.7)	NZ_JBBJSS010000006.1	367177	368388
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	Predicted 5-dehydro-4-deoxyglucarate regulator YcbG	NZ_JBBJSS010000009.1	114272	114652
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	NZ_JBBJSS010000003.1	358509	357607
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	D-glycerate transporter (predicted)	NZ_JBBJSS010000005.1	84319	83051
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	D-galactarate dehydratase (EC 4.2.1.42)	NZ_JBBJSS010000009.1	114119	113592
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	Sugar diacid utilization regulator SdaR	NZ_JBBJSS010000005.1	85546	84446
SB1	Carbohydrates	D-galactarate, D-glucarate and D-glycerate catabolism	Glycerate kinase (EC 2.7.1.31)	NZ_JBBJSS010000005.1	83030	81894
SB1	Carbohydrates	2-Ketogluconate Utilization	Epimerase KguE	NZ_JBBJSS010000005.1	254859	254116
SB1	Carbohydrates	2-Ketogluconate Utilization	2-ketogluconate transporter	NZ_JBBJSS010000005.1	253157	251877
SB1	Carbohydrates	2-Ketogluconate Utilization	2-ketogluconate utilization repressor PtxS	NZ_JBBJSS010000005.1	251101	250094
SB1	Carbohydrates	2-Ketogluconate Utilization	2-ketogluconate kinase (EC 2.7.1.13)	NZ_JBBJSS010000005.1	254119	253160
SB1	Carbohydrates	D-gluconate and ketogluconates metabolism	Gluconate transporter family protein	NZ_JBBJSS010000003.1	356064	354706
SB1	Carbohydrates	D-gluconate and ketogluconates metabolism	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	NZ_JBBJSS010000002.1	293665	292766
SB1	Carbohydrates	D-gluconate and ketogluconates metabolism	Gluconokinase (EC 2.7.1.12)	NZ_JBBJSS010000003.1	775722	774181
SB1	Carbohydrates	D-gluconate and ketogluconates metabolism	2-ketogluconate kinase (EC 2.7.1.13)	NZ_JBBJSS010000005.1	254119	253160
SB1	Carbohydrates	D-gluconate and ketogluconates metabolism	Gluconate permease	NZ_JBBJSS010000003.1	772106	770778
SB1	Carbohydrates	D-gluconate and ketogluconates metabolism	Glucose 1-dehydrogenase (EC 1.1.1.47)	NZ_JBBJSS010000003.1	484212	483427
SB1	Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Deoxyribonucleoside regulator DeoR (transcriptional repressor)	NZ_JBBJSS010000005.1	102708	101758
SB1	Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Phosphopentomutase (EC 5.4.2.7)	NZ_JBBJSS010000001.1	524748	523567
SB1	Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Ribokinase (EC 2.7.1.15)	NZ_JBBJSS010000003.1	608823	607945
SB1	Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Deoxyribose-phosphate aldolase (EC 4.1.2.4)	NZ_JBBJSS010000005.1	99924	99250
SB1	Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Purine nucleoside phosphorylase (EC 2.4.2.1)	NZ_JBBJSS010000001.1	149445	148741
SB1	Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2)	NZ_JBBJSS010000005.1	101247	99946
SB1	Carbohydrates	Fructose utilization	Fructokinase (EC 2.7.1.4)	NZ_JBBJSS010000003.1	346211	345234
SB1	Carbohydrates	Fructose utilization	Phosphotransferase system, phosphocarrier protein HPr	NZ_JBBJSS010000003.1	199304	199038
SB1	Carbohydrates	Fructose utilization	Transaldolase (EC 2.2.1.2)	NZ_JBBJSS010000002.1	277053	277706
SB1	Carbohydrates	Fructose utilization	1-phosphofructokinase (EC 2.7.1.56)	NZ_JBBJSS010000004.1	562249	561335
SB1	Carbohydrates	Fructose utilization	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	NZ_JBBJSS010000003.1	199038	197317
SB1	Carbohydrates	Fructose utilization	Transcriptional repressor of the fructose operon, DeoR family	NZ_JBBJSS010000004.1	562998	562246
SB1	Carbohydrates	Glycogen metabolism	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	NZ_JBBJSS010000001.1	1016051	1014900
SB1	Carbohydrates	Glycogen metabolism	Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	NZ_JBBJSS010000001.1	1013855	1012425
SB1	Carbohydrates	Glycogen metabolism	Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family	NZ_JBBJSS010000001.1	1014877	1013852
SB1	Carbohydrates	Glycogen metabolism	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	NZ_JBBJSS010000001.1	1017963	1016002
SB1	Carbohydrates	Glycogen metabolism	Glycogen phosphorylase (EC 2.4.1.1)	NZ_JBBJSS010000001.1	1012411	1010000
SB1	Carbohydrates	TCA Cycle	Citrate synthase (si) (EC 2.3.3.1)	NZ_JBBJSS010000001.1	884896	883778
SB1	Carbohydrates	TCA Cycle	Aconitate hydratase (EC 4.2.1.3)	NZ_JBBJSS010000004.1	110463	113183
SB1	Carbohydrates	TCA Cycle	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	NZ_JBBJSS010000005.1	201782	200487
SB1	Carbohydrates	TCA Cycle	Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)	NZ_JBBJSS010000001.1	339851	338691
SB1	Carbohydrates	TCA Cycle	Malate:quinone oxidoreductase (EC 1.1.5.4)	NZ_JBBJSS010000005.1	63185	61683
SB1	Carbohydrates	TCA Cycle	Fumarate hydratase class II (EC 4.2.1.2)	NZ_JBBJSS010000004.1	376145	374766
SB1	Carbohydrates	TCA Cycle	Fumarate hydratase class I, aerobic (EC 4.2.1.2)	NZ_JBBJSS010000011.1	30563	29022
SB1	Carbohydrates	TCA Cycle	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	NZ_JBBJSS010000001.1	883697	882411
SB1	Carbohydrates	TCA Cycle	Malate dehydrogenase (EC 1.1.1.37)	NZ_JBBJSS010000001.1	882382	881444
SB1	Carbohydrates	TCA Cycle	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	NZ_JBBJSS010000003.1	155947	154535
SB1	Carbohydrates	TCA Cycle	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	NZ_JBBJSS010000005.1	204660	201799
SB1	Carbohydrates	TCA Cycle	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	NZ_JBBJSS010000001.1	338672	337770
SB1	Carbohydrates	Glyoxylate bypass	Aconitate hydratase (EC 4.2.1.3)	NZ_JBBJSS010000004.1	110463	113183
SB1	Carbohydrates	Glyoxylate bypass	Malate dehydrogenase (EC 1.1.1.37)	NZ_JBBJSS010000001.1	882382	881444
SB1	Carbohydrates	Glyoxylate bypass	Citrate synthase (si) (EC 2.3.3.1)	NZ_JBBJSS010000001.1	884896	883778
SB1	Carbohydrates	Glyoxylate bypass	Isocitrate lyase (EC 4.1.3.1)	NZ_JBBJSS010000003.1	906749	905466
SB1	Carbohydrates	Glyoxylate bypass	Malate synthase G (EC 2.3.3.9)	NZ_JBBJSS010000005.1	170444	168267
SB1	Carbohydrates	Pentose phosphate pathway	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	NZ_JBBJSS010000001.1	366428	365772
SB1	Carbohydrates	Pentose phosphate pathway	6-phosphogluconolactonase (EC 3.1.1.31)	NZ_JBBJSS010000011.1	110735	109671
SB1	Carbohydrates	Pentose phosphate pathway	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	NZ_JBBJSS010000002.1	293893	295323
SB1	Carbohydrates	Pentose phosphate pathway	Transketolase (EC 2.2.1.1)	NZ_JBBJSS010000001.1	212393	210387
SB1	Carbohydrates	Pentose phosphate pathway	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	NZ_JBBJSS010000002.1	293665	292766
SB1	Carbohydrates	Pentose phosphate pathway	Transketolase, C-terminal section (EC 2.2.1.1)	NZ_JBBJSS010000008.1	139133	138186
SB1	Carbohydrates	Pentose phosphate pathway	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	NZ_JBBJSS010000018.1	30475	29522
SB1	Carbohydrates	Pentose phosphate pathway	Transketolase, N-terminal section (EC 2.2.1.1)	NZ_JBBJSS010000008.1	139966	139133
SB1	Carbohydrates	Pentose phosphate pathway	Transaldolase (EC 2.2.1.2)	NZ_JBBJSS010000002.1	277053	277706
SB1	Carbohydrates	Dihydroxyacetone kinases	Dihydroxyacetone kinase, ATP-dependent (EC 2.7.1.29)	NZ_JBBJSS010000008.1	37422	35659
SB1	Carbohydrates	Dehydrogenase complexes	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	NZ_JBBJSS010000001.1	565797	564538
SB1	Carbohydrates	Dehydrogenase complexes	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	NZ_JBBJSS010000005.1	201782	200487
SB1	Carbohydrates	Dehydrogenase complexes	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	NZ_JBBJSS010000001.1	567801	566809
SB1	Carbohydrates	Dehydrogenase complexes	Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4)	NZ_JBBJSS010000009.1	102431	103810
SB1	Carbohydrates	Dehydrogenase complexes	Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	NZ_JBBJSS010000003.1	158332	157355
SB1	Carbohydrates	Dehydrogenase complexes	Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	NZ_JBBJSS010000001.1	569243	567822
SB1	Carbohydrates	Dehydrogenase complexes	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	NZ_JBBJSS010000003.1	157252	155951
SB1	Carbohydrates	Dehydrogenase complexes	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	NZ_JBBJSS010000005.1	204660	201799
SB1	Carbohydrates	Dehydrogenase complexes	Cytosol aminopeptidase PepA (EC 3.4.11.1)	NZ_JBBJSS010000007.1	33719	32226
